,Abbey_RA1231,Audub_RA0639,Beave_OR0099,Borde_RA1443,Brook_RA0774,Butle_RA0878,Canem_OR0311,Cedar_RA1270,Chris_OR0244,CoopM_OR0291,Foste_RA0793,Gabbe_RA0808,Hylan_RA1790,LPowe_RA0670,OaksB_RA0721,Powel_RA0759,Tadpo_RA1832,Timbe_OR0163,Unit2_OR0328,Veter_RA0800,Water_RA0616
Abbey_RA1231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Audub_RA0639,0.122251197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beave_OR0099,0.049629465,0.130384753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borde_RA1443,0.170104547,0.185643026,0.209644322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brook_RA0774,0.143636538,0.168698368,0.10980589,0.072649537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butle_RA0878,0.092436448,0.104752918,0.128106333,0.098950373,0.115158447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canem_OR0311,0.082330094,0.148555656,0.117873982,0.146748691,0.09429428,0.02656474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedar_RA1270,0.102882973,0.115481086,0.119784497,0.173496307,0.087862648,0.111195163,0.141800853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris_OR0244,0.222031612,0.303003197,0.161253414,0.35178057,0.360545428,0.267266027,0.253384221,0.300226818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CoopM_OR0291,0.219835295,0.29339573,0.182058538,0.257911955,0.194817138,0.153536129,0.185571184,0.252819682,0.3728829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foste_RA0793,0.12951004,0.214690714,0.124026622,0.151930988,0.003876933,0.158091241,0.14953851,0.074565498,0.444127186,0.175076214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabbe_RA0808,0.24964645,0.341773835,0.253401977,0.312088297,0.166538411,0.249850392,0.204304216,0.184824979,0.475691345,0.243894519,0.175518782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hylan_RA1790,0.313204533,0.427519395,0.303384378,0.374961401,0.325842402,0.386588224,0.340674299,0.373713786,0.451736875,0.452801855,0.379835991,0.366687801,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPowe_RA0670,0.111182115,0.161201004,0.107889457,0.089874861,0.05789099,0.111233934,0.118800186,0.11394557,0.282608502,0.158393956,0.090991404,0.201631717,0.271753398,NA,NA,NA,NA,NA,NA,NA,NA
OaksB_RA0721,0.077515882,0.145140626,0.124723293,0.157866415,0.089177574,0.033819234,0.052484417,0.055587434,0.326581868,0.193207851,0.114735551,0.060392358,0.257381184,0.06451681,NA,NA,NA,NA,NA,NA,NA
Powel_RA0759,0.081700018,0.218372264,0.128072677,0.119405896,0.077898942,0.107979387,0.092001249,0.155607962,0.27949688,0.219145441,0.223447995,0.268272199,0.288604052,0.077802476,0.099527704,NA,NA,NA,NA,NA,NA
Tadpo_RA1832,0.13772323,0.18798367,0.102730549,0.279266812,0.270028161,0.221242091,0.227500684,0.219241723,0.179240005,0.291466896,0.287948059,0.299542565,0.341031469,0.179521382,0.22742353,0.228338377,NA,NA,NA,NA,NA
Timbe_OR0163,0.130811581,0.161170367,0.012038624,0.206417735,0.09642627,0.091920232,0.091252918,0.105316226,0.076376761,0.189264395,0.213214004,0.25019461,0.352985823,0.149594613,0.153534867,0.148451157,0.118195147,NA,NA,NA,NA
Unit2_OR0328,0.125000103,0.230267362,0.044598922,0.203885448,0.136532558,0.126004775,0.147426344,0.214140819,0.134400596,0.183714548,0.147932463,0.340635853,0.346320104,0.115535805,0.188252222,0.202542957,0.215517339,-0.036162266,NA,NA,NA
Veter_RA0800,0.199106977,0.222875748,0.16976124,0.306148216,0.17173008,0.215307681,0.249376764,0.179389534,0.407559492,0.290007709,0.114729334,0.204726449,0.372361968,0.175313659,0.173681634,0.285938319,0.217070681,0.205944714,0.197737713,NA,NA
Water_RA0616,0.140110522,0.166869315,0.161312784,-0.017757444,0.108082366,-0.070119668,0.044203082,0.164722714,0.285220704,0.162470898,0.199036977,0.313816634,0.416959221,0.117347638,0.080032013,0.072504976,0.198419675,0.118992198,0.150649462,0.302531134,NA
