"","Abbey_RA1231","Audub_RA0639","Beave_OR0099","Borde_RA1443","Brook_RA0774","Butle_RA0878","Canem_OR0311","Cedar_RA1270","Chris_OR0244","CoopM_OR0291","Foste_RA0793","Gabbe_RA0808","Hylan_RA1790","LPowe_RA0670","OaksB_RA0721","Powel_RA0759","Tadpo_RA1832","Timbe_OR0163","Unit2_OR0328","Veter_RA0800","Water_RA0616"
"Abbey_RA1231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Audub_RA0639",0.0839525821259491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beave_OR0099",0.0352186469049033,0.0909662529168186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Borde_RA1443",0.122981256193761,0.129420118720878,0.155352751267597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brook_RA0774",0.101655078484123,0.1154067060018,0.0777997309934164,0.0497899278959124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butle_RA0878",0.0666289581958506,0.0725966903580652,0.0944620611696447,0.0709319068323177,0.0819234642227496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canem_OR0311",0.058495340912494,0.103369977157097,0.0857195556545469,0.105645469606218,0.0658750319164365,0.0188371136542156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cedar_RA1270",0.0721639508651485,0.0778221020850668,0.0855492139942298,0.123689058775962,0.060031963723525,0.0793778542281411,0.101125788067748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris_OR0244",0.160190962188613,0.216564454398835,0.115300990273363,0.26441707555215,0.269062496145328,0.198649934610921,0.185513447432762,0.219747599305479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CoopM_OR0291",0.162776440471261,0.21467822472973,0.134653104318034,0.19213331876719,0.140369674135883,0.112799082757433,0.136306452752844,0.186692603384643,0.28447118074986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Foste_RA0793",0.0927345848672434,0.151675013499635,0.0897685742152657,0.108743197854558,0.00260573815743909,0.11594568097762,0.108166189111748,0.051575992355297,0.346842183109007,0.12727762881089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabbe_RA0808",0.180469967666424,0.246353182322171,0.185597150796026,0.229340348519302,0.114402560848944,0.183129915801441,0.145791394128929,0.128440336880354,0.367150661434727,0.17600489883194,0.122863147138342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hylan_RA1790",0.218848042336864,0.303222089504362,0.21371217232713,0.267333591410118,0.224605273714053,0.282667857363808,0.241807778191291,0.264525013963177,0.327598864704553,0.337265508330167,0.27158273381295,0.253031559092489,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LPowe_RA0670",0.0782528493219474,0.110576923076924,0.076806720694484,0.0623090760980247,0.0391752740077363,0.0794589566558017,0.0841317985850097,0.0790040981724532,0.205601423655558,0.113295676738064,0.0633288937548683,0.141124050671977,0.18376904189995,NA,NA,NA,NA,NA,NA,NA,NA
"OaksB_RA0721",0.0550483883533478,0.100960088059032,0.0909846681601792,0.114174509411293,0.0622552118675556,0.0240596400509288,0.037117234542518,0.0385711619004077,0.2457463758838,0.142402140435047,0.0821474676513851,0.0410129816994314,0.17634632684534,0.0449277942287482,NA,NA,NA,NA,NA,NA,NA
"Powel_RA0759",0.0563517639625211,0.151568112463337,0.0908750983264143,0.0827581713675857,0.0525129016515264,0.0762822138377918,0.0639198218262807,0.108375172363356,0.201206437474964,0.158565845089668,0.16116004057297,0.190756729589191,0.194666262484522,0.0527511520033495,0.0693908940535268,NA,NA,NA,NA,NA,NA
"Tadpo_RA1832",0.0958089233562914,0.127582159546626,0.0715190106492098,0.203053647205535,0.193428324910257,0.16078845255165,0.164006706329024,0.154710548484833,0.122862510014089,0.214475927748176,0.210572542660798,0.21358100143633,0.233362250068796,0.1249009224306,0.164084081852551,0.16023745737381,NA,NA,NA,NA,NA
"Timbe_OR0163",0.0929700921239982,0.110730011346248,0.00834552541350741,0.149366166585734,0.0662939360876642,0.065506586533598,0.0642572633552018,0.0729986000442863,0.0516452386140767,0.137216686274788,0.155172413793103,0.178669067686444,0.247482282730325,0.10536262566922,0.110459807358096,0.103430675562361,0.0805593238025673,NA,NA,NA,NA
"Unit2_OR0328",0.0890729071070217,0.163207577112085,0.0313752091743641,0.148059670488036,0.0956588408130677,0.0911622686203004,0.106211320575073,0.154885320254415,0.0932575561870318,0.133515901950573,0.10578345138943,0.253055040763137,0.243454787496302,0.0808190274374676,0.137594072145668,0.144578982791303,0.152995704927042,-0.0241368774824323,NA,NA,NA
"Veter_RA0800",0.142315052409861,0.154200460711393,0.121560801898544,0.22595893104455,0.119133611561294,0.156936755760758,0.182103216623833,0.125386157248711,0.307508900490992,0.214294944375415,0.0792107319087473,0.141283736935599,0.259967198702701,0.122440527471469,0.12357926767297,0.206239226785089,0.150922947715575,0.145750379641425,0.140205249419974,NA,NA
"Water_RA0616",0.102549874522285,0.118044589714993,0.120256439856852,-0.0122822323400315,0.0766976647398256,-0.0489897501452289,0.0315315315315318,0.119649385002645,0.213236431111798,0.119757814430286,0.14795081967213,0.235217189688559,0.308202357563851,0.0839904850724246,0.0577731092436976,0.0506113164628949,0.142954994157702,0.0855421686746987,0.109878456644099,0.227260860254427,NA
