SampleID,Latitude,Longitude
AmysAcres,45.481100,-122.405714
Audubon,45.528109,-122.730750
BeaverPond,45.438270,-123.233275
BorderWay,45.478973,-122.477660
Brookside,45.474918,-122.544690
ButlerCreek,45.472764,-122.456697
CanemahBluff,45.338255,-122.640578
CedarMillsWetland,45.519028,-122.796966
ChristensenCreek,45.438457,-123.067392
CRUnit2,45.438342,-123.077342
FosterFloodplain,45.473614,-122.552580
GabbertButte,45.477003,-122.430959
HalfmileLane,45.547677,-123.184209
HylandPark,45.461616,-122.816304
JasmineWay,45.480698,-122.374299
DetentionPond,45.486782,-122.382222
LowerPowellButte,45.476889,-122.495650
ManmadePond,45.431400,-123.239430
NightHeron,45.482267,-122.374129
ChannelMarshUnit2,45.680756,-122.869901
ChannelMarshUnit3,45.675760,-122.869830
OaksBottom,45.484748,-122.650620
RockCreek,45.574453,-122.858174
PowellButte,45.483800,-122.503530
PrairieUnit3,45.403430,-122.939210
PrairieUnit4,45.405420,-122.935720
QuarryPond,45.445401,-122.874855
MHCC,45.517800,-122.388440
StellaOlsen,45.359619,-122.846086
THNP,45.501927,-122.837962
TimberField,45.740670,-123.304220
TonquinScablands,45.327928,-122.796040
VeteransCreek,45.465418,-122.561889
WaterBureau,45.485669,-122.488393
AbbeyCreek,45.576834,-122.845961
